Price,Close,High,Low,Open,Volume,SMA_50,SMA_200,RSI
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,
Date,,,,,,,,
2023-06-12,25902.5,26087.919921875,25675.197265625,25934.28515625,11677889997,27447.1328125,25125.277068155676,35.253295150966494
2023-06-13,25918.728515625,26376.3515625,25728.365234375,25902.94140625,14143474486,27415.0005859375,25130.115186737807,35.66878001318226
2023-06-14,25124.67578125,26041.80078125,24902.15234375,25920.2578125,14265717766,27351.3421484375,25130.08222064394,33.96912943500212
2023-06-15,25576.39453125,25735.30859375,24797.16796875,25121.673828125,15837384409,27294.416015625,25132.770849021083,40.55927984394563
2023-06-16,26327.462890625,26463.173828125,25245.357421875,25575.283203125,16324646965,27231.48953125,25139.924693581586,43.325366488527145
2023-06-17,26510.67578125,26769.39453125,26174.4921875,26328.6796875,11090276850,27174.8978125,25148.08392624628,45.91948767967668
2023-06-18,26336.212890625,26675.92578125,26325.890625,26510.45703125,9565695129,27116.6523046875,25155.114275147927,44.445463769774875
2023-06-19,26851.029296875,26984.611328125,26312.83203125,26335.44140625,12826986222,27068.2967578125,25165.090245863972,58.79383282244567
2023-06-20,28327.48828125,28388.96875,26668.791015625,26841.6640625,22211859147,27073.01515625,25183.58380162646,58.77903616241509
2023-06-21,30027.296875,30737.330078125,28283.41015625,28311.310546875,33346760979,27099.9503515625,25211.744924146074,76.26640199938626
2023-06-22,29912.28125,30495.998046875,29679.158203125,29995.935546875,20653160491,27118.0698046875,25238.915654353324,74.45302439885367
2023-06-23,30695.46875,31389.5390625,29845.21484375,29896.3828125,24115570085,27155.0249609375,25270.275154903018,77.31482583085051
2023-06-24,30548.6953125,30804.1484375,30290.146484375,30708.73828125,12147822496,27175.311171875,25300.43755580357,82.47058661520545
2023-06-25,30480.26171875,31041.271484375,30327.943359375,30545.150390625,12703464114,27206.8239453125,25329.86837491122,81.47201414131786
2023-06-26,30271.130859375,30636.029296875,29955.744140625,30480.5234375,16493186997,27243.1469921875,25357.785112111582,79.5802578133658
2023-06-27,30688.1640625,31006.787109375,30236.650390625,30274.3203125,16428827944,27303.0248046875,25387.731061271068,80.63152893031601
2023-06-28,30086.24609375,30703.279296875,29921.822265625,30696.560546875,14571500779,27351.57421875,25413.979748603353,82.67183450302446
2023-06-29,30445.3515625,30796.25,30057.203125,30086.1875,13180860821,27408.0461328125,25441.93181423611,82.45787088128851
